ÅR	CO2
1960	13.0868
1961	13.3355
1962	14.0604
1963	14.9653
1964	16.1703
1965	16.3899
1966	19.5401
1967	19.3042
1968	21.1137
1969	22.1938
1970	27.9787
1971	27.166
1972	29.3951
1973	30.4918
1974	27.6947
1975	30.6119
1976	33.3482
1977	33.3309
1978	32.6508
1979	34.6585
1980	31.8127
1981	31.8455
1982	30.9567
1983	31.9984
1984	33.8698
1985	32.3476
1986	34.8577
1987	33.2813
1988	35.677
1989	34.2351
1990	35.098
1991	33.54
1992	34.468
1993	36.008
1994	37.914
1995	38.522
1996	41.594
1997	41.756
1998	41.885
1999	42.646
2000	42.171
2001	43.537
2002	42.623
2003	44.012
2004	44.357
2005	43.382
2006	43.972
2007	45.714
2008	44.837
2009	43.268
2010	45.697
2011	44.817
2012	44.342
2013	44.639
2014	45.078
2015	45.616
2016	44.8
2017	44.372
2018	44.469
2019	42.865
