Year;Area;Value;Unit;Item
1961;World;35109990;tonnes;Rye
1962;World;34824359;tonnes;Rye
1963;World;30485497;tonnes;Rye
1964;World;32668314;tonnes;Rye
1965;World;35362831;tonnes;Rye
1966;World;30807849;tonnes;Rye
1967;World;31443409;tonnes;Rye
1968;World;33025601;tonnes;Rye
1969;World;29428813;tonnes;Rye
1970;World;27677728;tonnes;Rye
1971;World;31694353;tonnes;Rye
1972;World;28677560;tonnes;Rye
1973;World;28960556;tonnes;Rye
1974;World;32520805;tonnes;Rye
1975;World;24306881;tonnes;Rye
1976;World;29638910;tonnes;Rye
1977;World;24033296;tonnes;Rye
1978;World;30926595;tonnes;Rye
1979;World;22660117;tonnes;Rye
1980;World;25377975;tonnes;Rye
1981;World;24851692;tonnes;Rye
1982;World;31108450;tonnes;Rye
1983;World;34862311;tonnes;Rye
1984;World;33841313;tonnes;Rye
1985;World;32045448;tonnes;Rye
1986;World;30414111;tonnes;Rye
1987;World;32511687;tonnes;Rye
1988;World;31036858;tonnes;Rye
1989;World;34672561;tonnes;Rye
1990;World;38193583;tonnes;Rye
1991;World;29029385;tonnes;Rye
1992;World;30502821;tonnes;Rye
1993;World;27438855;tonnes;Rye
1994;World;22887956;tonnes;Rye
1995;World;23222645;tonnes;Rye
1996;World;23073796;tonnes;Rye
1997;World;25293021;tonnes;Rye
1998;World;21113412;tonnes;Rye
1999;World;20158771;tonnes;Rye
2000;World;20107762;tonnes;Rye
2001;World;23382394;tonnes;Rye
2002;World;20933224;tonnes;Rye
2003;World;14648006;tonnes;Rye
2004;World;17632390;tonnes;Rye
2005;World;15218033;tonnes;Rye
2006;World;12666201;tonnes;Rye
2007;World;15114239;tonnes;Rye
2008;World;18126819;tonnes;Rye
2009;World;18227512;tonnes;Rye
2010;World;11916087;tonnes;Rye
2011;World;13105772;tonnes;Rye
2012;World;14499759;tonnes;Rye
2013;World;16649965;tonnes;Rye
2014;World;15204159;tonnes;Rye
2015;World;12937204;tonnes;Rye
2016;World;12999190;tonnes;Rye
2017;World;13004048;tonnes;Rye
2018;World;10716767;tonnes;Rye
2019;World;12824590;tonnes;Rye
2020;World;15022273;tonnes;Rye
